stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000011653	9606.ENSP00000481841	CD4	CD24	9606	0.702	0.0	0.0	0.0	0.0	0.0	0.0	0.702
9606.ENSP00000011653	9606.ENSP00000391592	CD4	PTPN6	9606	0.704	0.0	0.0	0.0	0.17	0.069	0.5	0.326
9606.ENSP00000011653	9606.ENSP00000330341	CD4	SOCS3	9606	0.712	0.0	0.0	0.0	0.067	0.067	0.0	0.696
9606.ENSP00000011653	9606.ENSP00000365048	CD4	TNFSF13B	9606	0.714	0.0	0.0	0.0	0.084	0.0	0.0	0.701
9606.ENSP00000011653	9606.ENSP00000219244	CD4	CCL17	9606	0.718	0.0	0.0	0.0	0.067	0.099	0.0	0.692
9606.ENSP00000011653	9606.ENSP00000378408	CD4	GPT	9606	0.72	0.0	0.0	0.0	0.042	0.0	0.0	0.72
9606.ENSP00000011653	9606.ENSP00000375629	CD4	LILRB2	9606	0.72	0.0	0.0	0.0	0.195	0.0	0.0	0.667
9606.ENSP00000011653	9606.ENSP00000219235	CD4	CCL22	9606	0.72	0.0	0.0	0.0	0.062	0.099	0.0	0.696
9606.ENSP00000011653	9606.ENSP00000388620	CD4	EOMES	9606	0.722	0.0	0.0	0.0	0.049	0.0	0.0	0.72
9606.ENSP00000011653	9606.ENSP00000294728	CD4	VCAM1	9606	0.724	0.0	0.0	0.0	0.0	0.126	0.0	0.697
9606.ENSP00000011653	9606.ENSP00000381775	CD4	TNFSF11	9606	0.726	0.0	0.0	0.0	0.042	0.0	0.0	0.726
9606.ENSP00000011653	9606.ENSP00000362680	CD4	SRC	9606	0.728	0.0	0.0	0.0	0.065	0.081	0.0	0.709
9606.ENSP00000011653	9606.ENSP00000370842	CD4	IL33	9606	0.729	0.0	0.0	0.0	0.044	0.0	0.0	0.728
9606.ENSP00000011653	9606.ENSP00000351671	CD4	CCL20	9606	0.731	0.0	0.0	0.0	0.0	0.091	0.0	0.716
9606.ENSP00000011653	9606.ENSP00000379110	CD4	CXCL1	9606	0.735	0.0	0.0	0.0	0.0	0.134	0.0	0.707
9606.ENSP00000011653	9606.ENSP00000257770	CD4	NT5E	9606	0.736	0.0	0.0	0.0	0.0	0.132	0.0	0.709
9606.ENSP00000011653	9606.ENSP00000378845	CD4	LAT	9606	0.737	0.0	0.0	0.0	0.072	0.0	0.5	0.479
9606.ENSP00000011653	9606.ENSP00000432511	CD4	JAK3	9606	0.738	0.0	0.0	0.0	0.097	0.081	0.0	0.71
9606.ENSP00000011653	9606.ENSP00000356713	CD4	IFNGR1	9606	0.739	0.0	0.0	0.0	0.065	0.0	0.0	0.733
9606.ENSP00000011653	9606.ENSP00000263379	CD4	IL27RA	9606	0.741	0.0	0.0	0.0	0.074	0.045	0.0	0.731
9606.ENSP00000011653	9606.ENSP00000315997	CD4	LILRB1	9606	0.743	0.0	0.0	0.0	0.105	0.126	0.0	0.698
9606.ENSP00000011653	9606.ENSP00000370343	CD4	IRF4	9606	0.745	0.0	0.0	0.0	0.116	0.067	0.0	0.716
9606.ENSP00000011653	9606.ENSP00000351484	CD4	NAALADL1	9606	0.751	0.0	0.0	0.0	0.095	0.096	0.0	0.72
9606.ENSP00000011653	9606.ENSP00000221972	CD4	CD79A	9606	0.753	0.0	0.0	0.0	0.174	0.179	0.0	0.666
9606.ENSP00000011653	9606.ENSP00000284240	CD4	THY1	9606	0.753	0.0	0.0	0.0	0.06	0.0	0.0	0.748
9606.ENSP00000011653	9606.ENSP00000312082	CD4	TLR8	9606	0.754	0.0	0.0	0.0	0.238	0.097	0.0	0.671
9606.ENSP00000011653	9606.ENSP00000368450	CD4	CD83	9606	0.754	0.0	0.0	0.0	0.063	0.0	0.0	0.748
9606.ENSP00000011653	9606.ENSP00000419085	CD4	TIGIT	9606	0.757	0.0	0.0	0.0	0.115	0.0	0.0	0.736
9606.ENSP00000011653	9606.ENSP00000274306	CD4	GZMA	9606	0.758	0.0	0.0	0.0	0.173	0.113	0.0	0.696
9606.ENSP00000011653	9606.ENSP00000300060	CD4	ANPEP	9606	0.762	0.0	0.0	0.0	0.083	0.0	0.0	0.752
9606.ENSP00000011653	9606.ENSP00000386378	CD4	CD207	9606	0.767	0.0	0.0	0.0	0.049	0.091	0.0	0.752
9606.ENSP00000011653	9606.ENSP00000306884	CD4	CXCL11	9606	0.769	0.0	0.0	0.0	0.05	0.0	0.0	0.766
9606.ENSP00000011653	9606.ENSP00000353731	CD4	DPP4	9606	0.774	0.0	0.0	0.0	0.06	0.1	0.0	0.755
9606.ENSP00000011653	9606.ENSP00000403495	CD4	LTA	9606	0.777	0.0	0.0	0.0	0.109	0.0	0.0	0.76
9606.ENSP00000011653	9606.ENSP00000338010	CD4	IL21R	9606	0.781	0.0	0.0	0.0	0.067	0.0	0.0	0.775
9606.ENSP00000011653	9606.ENSP00000389326	CD4	ACE2	9606	0.788	0.0	0.0	0.0	0.0	0.0	0.0	0.788
9606.ENSP00000011653	9606.ENSP00000354901	CD4	CXCL9	9606	0.79	0.0	0.0	0.0	0.114	0.0	0.0	0.773
9606.ENSP00000011653	9606.ENSP00000484431	CD4	CD48	9606	0.792	0.0	0.0	0.238	0.227	0.0	0.0	0.676
9606.ENSP00000011653	9606.ENSP00000356024	CD4	CR2	9606	0.798	0.0	0.0	0.0	0.043	0.091	0.0	0.787
9606.ENSP00000011653	9606.ENSP00000215637	CD4	MADCAM1	9606	0.801	0.0	0.0	0.0	0.0	0.0	0.0	0.801
9606.ENSP00000011653	9606.ENSP00000323280	CD4	CD6	9606	0.811	0.0	0.0	0.0	0.294	0.0	0.0	0.744
9606.ENSP00000011653	9606.ENSP00000418525	CD4	MME	9606	0.816	0.0	0.0	0.0	0.0	0.131	0.0	0.798
9606.ENSP00000011653	9606.ENSP00000286758	CD4	CXCL13	9606	0.818	0.0	0.0	0.0	0.072	0.0	0.0	0.812
9606.ENSP00000011653	9606.ENSP00000371958	CD4	CD9	9606	0.829	0.0	0.0	0.0	0.0	0.113	0.0	0.815
9606.ENSP00000011653	9606.ENSP00000380948	CD4	ITGB2	9606	0.834	0.0	0.0	0.0	0.276	0.071	0.0	0.773
9606.ENSP00000011653	9606.ENSP00000085219	CD4	CD22	9606	0.836	0.0	0.0	0.221	0.053	0.126	0.0	0.776
9606.ENSP00000011653	9606.ENSP00000271450	CD4	FCGR2A	9606	0.837	0.0	0.0	0.0	0.121	0.091	0.0	0.813
9606.ENSP00000011653	9606.ENSP00000451828	CD4	AKT1	9606	0.839	0.0	0.0	0.0	0.042	0.081	0.0	0.832
9606.ENSP00000011653	9606.ENSP00000225831	CD4	CCL2	9606	0.839	0.0	0.0	0.0	0.058	0.099	0.0	0.825
9606.ENSP00000011653	9606.ENSP00000305651	CD4	CXCL10	9606	0.839	0.0	0.0	0.0	0.09	0.0	0.0	0.83
9606.ENSP00000011653	9606.ENSP00000351497	CD4	FCGR2B	9606	0.842	0.0	0.0	0.0	0.128	0.091	0.0	0.817
9606.ENSP00000011653	9606.ENSP00000478699	CD4	TNFRSF9	9606	0.851	0.0	0.0	0.0	0.043	0.0	0.0	0.851
9606.ENSP00000011653	9606.ENSP00000365402	CD4	HLA-C	9606	0.857	0.0	0.0	0.0	0.084	0.101	0.0	0.841
9606.ENSP00000011653	9606.ENSP00000349252	CD4	ITGAL	9606	0.859	0.0	0.0	0.0	0.244	0.067	0.0	0.816
9606.ENSP00000011653	9606.ENSP00000306512	CD4	CXCL8	9606	0.861	0.0	0.0	0.0	0.047	0.0	0.0	0.86
9606.ENSP00000011653	9606.ENSP00000221930	CD4	TGFB1	9606	0.87	0.0	0.0	0.0	0.072	0.0	0.0	0.866
9606.ENSP00000011653	9606.ENSP00000430950	CD4	IDO1	9606	0.875	0.0	0.0	0.0	0.082	0.0	0.0	0.87
9606.ENSP00000011653	9606.ENSP00000216223	CD4	IL2RB	9606	0.875	0.0	0.0	0.0	0.252	0.0	0.0	0.84
9606.ENSP00000011653	9606.ENSP00000259607	CD4	CCL21	9606	0.881	0.0	0.0	0.0	0.124	0.099	0.0	0.862
9606.ENSP00000011653	9606.ENSP00000363318	CD4	IL2RG	9606	0.884	0.0	0.0	0.25	0.218	0.0	0.0	0.819
9606.ENSP00000011653	9606.ENSP00000431254	CD4	IGLL5	9606	0.885	0.0	0.0	0.0	0.129	0.8	0.0	0.395
9606.ENSP00000011653	9606.ENSP00000398655	CD4	ITK	9606	0.887	0.0	0.0	0.0	0.272	0.081	0.5	0.704
9606.ENSP00000011653	9606.ENSP00000308815	CD4	CCL19	9606	0.888	0.0	0.0	0.0	0.174	0.099	0.0	0.862
9606.ENSP00000011653	9606.ENSP00000357152	CD4	CD1C	9606	0.889	0.0	0.0	0.0	0.125	0.0	0.0	0.878
9606.ENSP00000011653	9606.ENSP00000312027	CD4	CD7	9606	0.901	0.0	0.0	0.0	0.137	0.0	0.0	0.89
9606.ENSP00000011653	9606.ENSP00000358165	CD4	FCGR1A	9606	0.902	0.0	0.0	0.0	0.138	0.126	0.0	0.881
9606.ENSP00000011653	9606.ENSP00000346839	CD4	FN1	9606	0.916	0.0	0.0	0.0	0.0	0.092	0.0	0.912
9606.ENSP00000011653	9606.ENSP00000296545	CD4	IL15	9606	0.917	0.0	0.0	0.0	0.109	0.0	0.0	0.91
9606.ENSP00000011653	9606.ENSP00000361359	CD4	CD40	9606	0.924	0.0	0.0	0.0	0.059	0.0	0.0	0.923
9606.ENSP00000011653	9606.ENSP00000319476	CD4	ICOS	9606	0.929	0.0	0.0	0.0	0.255	0.0	0.0	0.909
9606.ENSP00000011653	9606.ENSP00000498227	CD4	SELL	9606	0.931	0.0	0.0	0.0	0.125	0.091	0.0	0.921
9606.ENSP00000011653	9606.ENSP00000266557	CD4	CD27	9606	0.931	0.0	0.0	0.0	0.109	0.0	0.0	0.926
9606.ENSP00000011653	9606.ENSP00000226279	CD4	CD38	9606	0.932	0.0	0.0	0.0	0.08	0.0	0.0	0.929
9606.ENSP00000011653	9606.ENSP00000313419	CD4	CD19	9606	0.936	0.0	0.0	0.0	0.121	0.0	0.0	0.931
9606.ENSP00000011653	9606.ENSP00000216341	CD4	GZMB	9606	0.936	0.0	0.0	0.0	0.164	0.113	0.0	0.92
9606.ENSP00000011653	9606.ENSP00000369293	CD4	IL2RA	9606	0.936	0.0	0.0	0.0	0.116	0.125	0.0	0.924
9606.ENSP00000011653	9606.ENSP00000496848	CD4	HLA-DOB	9606	0.938	0.0	0.0	0.0	0.148	0.087	0.9	0.296
9606.ENSP00000011653	9606.ENSP00000370989	CD4	CD274	9606	0.938	0.0	0.0	0.0	0.0	0.0	0.5	0.883
9606.ENSP00000011653	9606.ENSP00000482259	CD4	CCL4	9606	0.939	0.0	0.0	0.0	0.136	0.099	0.0	0.929
9606.ENSP00000011653	9606.ENSP00000380855	CD4	PDCD1LG2	9606	0.945	0.0	0.0	0.0	0.042	0.0	0.5	0.896
9606.ENSP00000011653	9606.ENSP00000364114	CD4	HLA-DRB5	9606	0.945	0.0	0.0	0.0	0.117	0.087	0.9	0.405
9606.ENSP00000011653	9606.ENSP00000246657	CD4	CCR7	9606	0.947	0.0	0.0	0.0	0.193	0.091	0.0	0.934
9606.ENSP00000011653	9606.ENSP00000228434	CD4	CD69	9606	0.948	0.0	0.0	0.0	0.117	0.091	0.0	0.94
9606.ENSP00000011653	9606.ENSP00000454623	CD4	ITGAX	9606	0.949	0.0	0.0	0.0	0.162	0.067	0.0	0.941
9606.ENSP00000011653	9606.ENSP00000364080	CD4	HLA-DQB1	9606	0.951	0.0	0.0	0.0	0.17	0.087	0.5	0.887
9606.ENSP00000011653	9606.ENSP00000497102	CD4	CTLA4	9606	0.955	0.0	0.0	0.0	0.137	0.091	0.0	0.948
9606.ENSP00000011653	9606.ENSP00000263341	CD4	IL1B	9606	0.958	0.0	0.0	0.238	0.108	0.0	0.0	0.944
9606.ENSP00000011653	9606.ENSP00000433642	CD4	FCGR3B	9606	0.959	0.0	0.0	0.2	0.109	0.176	0.0	0.939
9606.ENSP00000011653	9606.ENSP00000364076	CD4	HLA-DQA2	9606	0.961	0.0	0.0	0.0	0.074	0.0	0.9	0.621
9606.ENSP00000011653	9606.ENSP00000356946	CD4	FCGR3A	9606	0.964	0.0	0.0	0.222	0.182	0.176	0.0	0.939
9606.ENSP00000011653	9606.ENSP00000398698	CD4	TNF	9606	0.968	0.0	0.0	0.0	0.092	0.0	0.0	0.966
9606.ENSP00000011653	9606.ENSP00000264832	CD4	ICAM1	9606	0.969	0.0	0.0	0.0	0.062	0.0	0.0	0.968
9606.ENSP00000011653	9606.ENSP00000324890	CD4	CD28	9606	0.971	0.0	0.0	0.0	0.137	0.091	0.0	0.966
9606.ENSP00000011653	9606.ENSP00000411355	CD4	PTPRC	9606	0.981	0.0	0.0	0.0	0.276	0.341	0.4	0.943
9606.ENSP00000011653	9606.ENSP00000339398	CD4	HLA-DQA1	9606	0.982	0.0	0.0	0.0	0.086	0.0	0.9	0.821
9606.ENSP00000011653	9606.ENSP00000359663	CD4	CD40LG	9606	0.983	0.0	0.0	0.0	0.323	0.091	0.0	0.975
9606.ENSP00000011653	9606.ENSP00000354566	CD4	CD3E	9606	0.991	0.0	0.0	0.0	0.454	0.0	0.9	0.864
9606.ENSP00000011653	9606.ENSP00000265162	CD4	ENPEP	9606	0.994	0.0	0.0	0.0	0.0	0.0	0.0	0.994
9606.ENSP00000011653	9606.ENSP00000353099	CD4	HLA-DRB1	9606	0.994	0.0	0.0	0.0	0.188	0.904	0.5	0.879
9606.ENSP00000011653	9606.ENSP00000342681	CD4	CD5	9606	0.997	0.0	0.0	0.0	0.267	0.923	0.0	0.96
9606.ENSP00000011653	9606.ENSP00000302935	CD4	IL16	9606	0.998	0.0	0.0	0.0	0.211	0.295	0.9	0.976
9606.ENSP00000011653	9606.ENSP00000386884	CD4	CXCR4	9606	0.999	0.0	0.0	0.0	0.083	0.535	0.0	0.999
9606.ENSP00000016913	9606.ENSP00000332404	MS4A12	TMIGD1	9606	0.624	0.0	0.0	0.0	0.098	0.0	0.0	0.601
9606.ENSP00000016913	9606.ENSP00000361662	MS4A12	GUCA2B	9606	0.659	0.0	0.0	0.0	0.137	0.0	0.0	0.621
9606.ENSP00000016913	9606.ENSP00000219660	MS4A12	AQP8	9606	0.704	0.0	0.0	0.0	0.379	0.0	0.0	0.544
9606.ENSP00000016913	9606.ENSP00000359594	MS4A12	CLCA4	9606	0.706	0.0	0.0	0.0	0.251	0.0	0.0	0.623
9606.ENSP00000016913	9606.ENSP00000349493	MS4A12	GUCA2A	9606	0.716	0.0	0.0	0.0	0.219	0.0	0.0	0.651
9606.ENSP00000016913	9606.ENSP00000383563	MS4A12	ZG16	9606	0.801	0.0	0.0	0.0	0.257	0.0	0.0	0.744
9606.ENSP00000023064	9606.ENSP00000365686	SLC7A9	SLC15A1	9606	0.649	0.0	0.0	0.0	0.15	0.058	0.0	0.597
9606.ENSP00000023064	9606.ENSP00000470801	SLC7A9	SLC6A14	9606	0.679	0.041	0.0	0.0	0.067	0.053	0.0	0.666
9606.ENSP00000023064	9606.ENSP00000305302	SLC7A9	SLC6A19	9606	0.772	0.041	0.0	0.0	0.135	0.0	0.0	0.747
9606.ENSP00000043402	9606.ENSP00000384716	RTN4R	ZDHHC8	9606	0.758	0.0	0.0	0.0	0.086	0.0	0.0	0.746
9606.ENSP00000043402	9606.ENSP00000300060	RTN4R	ANPEP	9606	0.996	0.0	0.0	0.0	0.0	0.0	0.0	0.996
9606.ENSP00000075120	9606.ENSP00000368637	SLC2A3	SLC23A2	9606	0.618	0.0	0.0	0.0	0.069	0.0	0.0	0.606
9606.ENSP00000075120	9606.ENSP00000266088	SLC2A3	SLC5A1	9606	0.639	0.0	0.0	0.0	0.104	0.0	0.0	0.614
9606.ENSP00000075120	9606.ENSP00000320171	SLC2A3	PKM	9606	0.689	0.0	0.0	0.0	0.071	0.0	0.0	0.679
9606.ENSP00000075120	9606.ENSP00000290573	SLC2A3	HK2	9606	0.711	0.0	0.0	0.0	0.101	0.0	0.0	0.692
9606.ENSP00000075120	9606.ENSP00000492001	SLC2A3	PFKFB3	9606	0.736	0.0	0.0	0.0	0.257	0.0	0.159	0.611
9606.ENSP00000078445	9606.ENSP00000233242	CREB3L3	APOB	9606	0.625	0.0	0.0	0.0	0.449	0.0	0.0	0.349
9606.ENSP00000078445	9606.ENSP00000326031	CREB3L3	PPP1CA	9606	0.65	0.0	0.0	0.0	0.0	0.0	0.65	0.0
9606.ENSP00000078445	9606.ENSP00000264399	CREB3L3	PRKG2	9606	0.655	0.0	0.0	0.0	0.0	0.0	0.65	0.055
9606.ENSP00000078445	9606.ENSP00000451828	CREB3L3	AKT1	9606	0.72	0.0	0.0	0.0	0.055	0.0	0.65	0.222
9606.ENSP00000078445	9606.ENSP00000350425	CREB3L3	APOA4	9606	0.74	0.0	0.0	0.0	0.268	0.0	0.5	0.348
9606.ENSP00000078445	9606.ENSP00000373328	CREB3L3	CIDEC	9606	0.74	0.0	0.0	0.0	0.084	0.0	0.5	0.479
9606.ENSP00000078445	9606.ENSP00000357622	CREB3L3	CRTC2	9606	0.942	0.0	0.003	0.0	0.0	0.0	0.9	0.448
9606.ENSP00000080059	9606.ENSP00000252699	HDAC7	ACTN4	9606	0.64	0.0	0.0	0.0	0.067	0.292	0.0	0.5
9606.ENSP00000080059	9606.ENSP00000328484	HDAC7	H2AC14	9606	0.689	0.0	0.0	0.0	0.0	0.133	0.65	0.06
9606.ENSP00000080059	9606.ENSP00000338157	HDAC7	ZBTB16	9606	0.696	0.0	0.0	0.0	0.05	0.328	0.0	0.561
9606.ENSP00000080059	9606.ENSP00000360493	HDAC7	RUNX2	9606	0.719	0.0	0.0	0.0	0.062	0.314	0.0	0.598
9606.ENSP00000080059	9606.ENSP00000263754	HDAC7	KAT2B	9606	0.764	0.0	0.0	0.0	0.054	0.157	0.5	0.478
9606.ENSP00000080059	9606.ENSP00000279441	HDAC7	MMP10	9606	0.807	0.0	0.0	0.0	0.051	0.052	0.0	0.803
9606.ENSP00000085068	9606.ENSP00000401508	ISOC2	NAPRT	9606	0.748	0.111	0.0	0.0	0.164	0.0	0.585	0.281
9606.ENSP00000085219	9606.ENSP00000481841	CD22	CD24	9606	0.601	0.0	0.0	0.0	0.044	0.0	0.0	0.599
9606.ENSP00000085219	9606.ENSP00000271450	CD22	FCGR2A	9606	0.607	0.0	0.0	0.0	0.071	0.0	0.0	0.595
9606.ENSP00000085219	9606.ENSP00000324890	CD22	CD28	9606	0.612	0.0	0.0	0.0	0.106	0.0	0.0	0.584
9606.ENSP00000085219	9606.ENSP00000349252	CD22	ITGAL	9606	0.613	0.0	0.0	0.308	0.155	0.071	0.0	0.371
9606.ENSP00000085219	9606.ENSP00000365048	CD22	TNFSF13B	9606	0.624	0.0	0.0	0.0	0.045	0.0	0.0	0.622
9606.ENSP00000085219	9606.ENSP00000356936	CD22	FCRLA	9606	0.626	0.0	0.0	0.0	0.44	0.0	0.0	0.36
9606.ENSP00000085219	9606.ENSP00000478699	CD22	TNFRSF9	9606	0.628	0.0	0.0	0.0	0.108	0.0	0.0	0.599
9606.ENSP00000085219	9606.ENSP00000291232	CD22	TNFRSF13C	9606	0.628	0.0	0.0	0.0	0.277	0.0	0.0	0.506
9606.ENSP00000085219	9606.ENSP00000361359	CD22	CD40	9606	0.652	0.0	0.0	0.0	0.181	0.0	0.0	0.593
9606.ENSP00000085219	9606.ENSP00000371958	CD22	CD9	9606	0.653	0.0	0.0	0.0	0.0	0.126	0.0	0.62
9606.ENSP00000085219	9606.ENSP00000354901	CD22	CXCL9	9606	0.671	0.0	0.0	0.0	0.055	0.0	0.0	0.666
9606.ENSP00000085219	9606.ENSP00000266557	CD22	CD27	9606	0.678	0.0	0.0	0.0	0.166	0.0	0.0	0.629
9606.ENSP00000085219	9606.ENSP00000264072	CD22	FCER2	9606	0.68	0.0	0.0	0.0	0.494	0.0	0.0	0.393
9606.ENSP00000085219	9606.ENSP00000497102	CD22	CTLA4	9606	0.688	0.0	0.0	0.0	0.09	0.0	0.0	0.671
9606.ENSP00000085219	9606.ENSP00000245620	CD22	LILRB3	9606	0.688	0.0	0.0	0.0	0.094	0.071	0.0	0.659
9606.ENSP00000085219	9606.ENSP00000376786	CD22	POU2AF1	9606	0.691	0.0	0.0	0.0	0.273	0.0	0.0	0.592
9606.ENSP00000085219	9606.ENSP00000300060	CD22	ANPEP	9606	0.697	0.0	0.0	0.0	0.0	0.0	0.0	0.697
9606.ENSP00000085219	9606.ENSP00000363330	CD22	CD52	9606	0.698	0.0	0.0	0.0	0.15	0.0	0.0	0.66
9606.ENSP00000085219	9606.ENSP00000483570	CD22	BTK	9606	0.709	0.0	0.0	0.0	0.239	0.102	0.0	0.608
9606.ENSP00000085219	9606.ENSP00000325708	CD22	CD37	9606	0.71	0.0	0.0	0.0	0.239	0.126	0.0	0.6
9606.ENSP00000085219	9606.ENSP00000248948	CD22	VPREB3	9606	0.712	0.0	0.0	0.0	0.528	0.126	0.0	0.358
